Paper,Problem,Solution,Contribution,Limitation,Research Gap,TriNetra Opportunity
[2014] Explicit factor models for explainable recommendation based on phrase-level sentiment analysis,"However, the latent features make it difficulty to explain the recommendation results to the users.",Provides theoretical and empirical insights on Explicit factor models for explainable recommendation based on phrase-level sent.,Provides theoretical and empirical insights on Explicit factor models for explainable recommendation based on phrase-level sent.,"however, the latent features make it difficulty to explain the recommendation results to the users.",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2023] Explainable AI (XAI): A systematic meta-survey of current challenges and future opportunities,"However, this success has been met by increasing model complexity and employing black-box AI models that lack transparency.",Provides theoretical and empirical insights on Explainable AI (XAI): A systematic meta-survey of current challenges and future .,Provides theoretical and empirical insights on Explainable AI (XAI): A systematic meta-survey of current challenges and future .,"however, this success has been met by increasing model complexity and employing black-box ai models that lack transparency.",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2018] Explainable Recommendation via Multi-Task Learning in Opinionated Text Data,nan,Provides theoretical and empirical insights on Explainable Recommendation via Multi-Task Learning in Opinionated Text Data.,Provides theoretical and empirical insights on Explainable Recommendation via Multi-Task Learning in Opinionated Text Data.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2023] Personalized Prompt Learning for Explainable Recommendation,"However, previous works mostly adopt recurrent neural networks to meet the ends, leaving the potentially more effective pre-trained Transformer models under-explored.",Provides theoretical and empirical insights on Personalized Prompt Learning for Explainable Recommendation.,Provides theoretical and empirical insights on Personalized Prompt Learning for Explainable Recommendation.,"however, previous works mostly adopt recurrent neural networks to meet the ends, leaving the potentially more effective pre-trained transformer models under-explored.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2018] Learning Heterogeneous Knowledge Base Embeddings for Explainable Recommendation,"However, structured knowledge bases exhibit unique advantages in personalized recommendation systems.",we propose to explain knowledge-base embeddings for explainable recommendation.,we propose to explain knowledge-base embeddings for explainable recommendation.,"however, structured knowledge bases exhibit unique advantages in personalized recommendation systems.",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2019] Co-Attentive Multi-Task Learning for Explainable Recommendation,"Despite widespread adoption, recommender systems remain mostly black boxes.","this paper, we propose a co-attentive multi-task learning model for explainable recommendation.","this paper, we propose a co-attentive multi-task learning model for explainable recommendation.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2022] Explainable AI Methods - A Brief Overview,nan,Provides theoretical and empirical insights on Explainable AI Methods - A Brief Overview.,Provides theoretical and empirical insights on Explainable AI Methods - A Brief Overview.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2019] Dynamic Explainable Recommendation Based on Neural Attentive Models,"However, in real scenarios, a user’s preference is always dynamic, and she may be interested in different product features at different states.","this paper, we build a novel Dynamic Explainable Recommender (called DER) for more accurate user modeling and explanations.","this paper, we build a novel Dynamic Explainable Recommender (called DER) for more accurate user modeling and explanations.","however, in real scenarios, a user’s preference is always dynamic, and she may be interested in different product features at different states.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
"[2020] An empirical model of salesperson competence, buyer-seller trust and collaboration: the moderating role of technological turbulence and product complexity","Based on the theoretical underpinnings of transaction cost economics, we examine the impact of salesperson competence – one of the important antecedents of trust in a buyer-seller relationship.","Provides theoretical and empirical insights on An empirical model of salesperson competence, buyer-seller trust and collaborati.","Provides theoretical and empirical insights on An empirical model of salesperson competence, buyer-seller trust and collaborati.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2023] From Anecdotal Evidence to Quantitative Evaluation Methods: A Systematic Review on Evaluating Explainable AI,nan,"contributes to the call for objective, quantifiable evaluation methods by presenting an extensive overview of quantitative XAI evaluation methods.","contributes to the call for objective, quantifiable evaluation methods by presenting an extensive overview of quantitative XAI evaluation methods.","Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2021] How to Manage Value-Added Tax Refunds,"Despite its intrinsic self-enforcement capacity, many tax administrations find it challenging to refund excess input credits, which is critical to a well-functioning VAT system.",Provides theoretical and empirical insights on How to Manage Value-Added Tax Refunds.,Provides theoretical and empirical insights on How to Manage Value-Added Tax Refunds.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2015] Big data based fraud risk management at Alibaba,"With development of mobile internet and finance, fraud risk comes in all shapes and sizes.",This paper is to introduce the Fraud Risk Management at Alibaba under big data.,This paper is to introduce the Fraud Risk Management at Alibaba under big data.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2024] Analysis and Evaluation of Various Fraud Detection Methods for Electronic Payment Cards Transactions in Big Data,"This study examines and compares 20 common online fraud detection methods within the context of big data, evaluating them based on 11 criteria: type of learning, speed, accuracy, cost (time), complexity, interpretability, scalability, robustness, flexibility, and temporal and spatial complexity.","This study examines and compares 20 common online fraud detection methods within the context of big data, evaluating them based on 11 criteria: type of learning, speed, accuracy, cost (time), complexity, interpretability, scalability, robustness, flexibility, and temporal and spatial complexity.","This study examines and compares 20 common online fraud detection methods within the context of big data, evaluating them based on 11 criteria: type of learning, speed, accuracy, cost (time), complexity, interpretability, scalability, robustness, flexibility, and temporal and spatial complexity.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2003] Defining Uncertainty: A Conceptual Basis for Uncertainty Management in Model-Based Decision Support,nan,"this paper is to provide a conceptual basis for the systematic treatment of uncertainty in model-based decision support activities such as policy analysis, integrated assessment and risk assessment.","this paper is to provide a conceptual basis for the systematic treatment of uncertainty in model-based decision support activities such as policy analysis, integrated assessment and risk assessment.","Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
"[2002] Consumer Trust, Value, and Loyalty in Relational Exchanges",The authors develop a framework for understanding the behaviors and practices of service providers that build or deplete consumer trust and the mechanisms that convert consumer trust into value and loyalty in relational exchanges.,"Provides theoretical and empirical insights on Consumer Trust, Value, and Loyalty in Relational Exchanges.","Provides theoretical and empirical insights on Consumer Trust, Value, and Loyalty in Relational Exchanges.","Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[1999] Building consumer trust online,"The reason more people have yet to shop online or even provide information to Web providers in exchange for access to information, is the fundamental lack of faith between most businesses and consumers on the Web today. Research reveals that this lack of trust arises from the fact that cyberconsumers feel they lack control over the access that Web merchants have to their personal information during the online navigation process.",Provides theoretical and empirical insights on Building consumer trust online.,Provides theoretical and empirical insights on Building consumer trust online.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2018] Influencer Marketing: How Message Value and Credibility Affect Consumer Trust of Branded Content on Social Media,nan,"results show that the informative value of influencer-generated content, influencer’s trustworthiness, attractiveness, and similarity to the followers positively affect followers’ trust in influencers’ branded posts, which subsequently influence brand awareness and purchase intentions.","results show that the informative value of influencer-generated content, influencer’s trustworthiness, attractiveness, and similarity to the followers positively affect followers’ trust in influencers’ branded posts, which subsequently influence brand awareness and purchase intentions.","Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
"[2024] ADMETlab 3.0: an updated comprehensive online ADMET prediction platform enhanced with broader coverage, improved performance, API functionality and decision support",nan,Provides theoretical and empirical insights on ADMETlab 3.0: an updated comprehensive online ADMET prediction platform enhanced.,Provides theoretical and empirical insights on ADMETlab 3.0: an updated comprehensive online ADMET prediction platform enhanced.,"limitations of the previous version and offers broader coverage, improved performance, api functionality, and decision support.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2006] Consumer Trust in an Internet Store: A Cross-Cultural Validation,Many have speculated that trust plays a critical role in stimulating consumer purchases over the Internet.,Provides theoretical and empirical insights on Consumer Trust in an Internet Store: A Cross-Cultural Validation.,Provides theoretical and empirical insights on Consumer Trust in an Internet Store: A Cross-Cultural Validation.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[1982] Foundations of Decision Support Systems,nan,Provides theoretical and empirical insights on Foundations of Decision Support Systems.,Provides theoretical and empirical insights on Foundations of Decision Support Systems.,"Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2021] Effects of customer trust on engagement in live streaming commerce: mediating role of swift guanxi,"However, factors that impact the success of live streaming commerce are not fully explored. In addition, this study examines the mediating influence of swift guanxi on the relationship between customer trust and engagement.",this study is to examine these factors by exploring the relationships among customer trust (i.,this study is to examine these factors by exploring the relationships among customer trust (i.,"however, factors that impact the success of live streaming commerce are not fully explored.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2024] The future of self-driving laboratories: from human in the loop interactive AI to gamification,nan,Provides theoretical and empirical insights on The future of self-driving laboratories: from human in the loop interactive AI t.,Provides theoretical and empirical insights on The future of self-driving laboratories: from human in the loop interactive AI t.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2001] Remote Purchase Environments: The Influence of Return Policy Leniency on Two-Stage Decision Processes,"Consumers' initial lack of experiential information makes product choice more risky. However, the endowment effect suggests some surprising benefits of return policy leniency to the retailer.",Provides theoretical and empirical insights on Remote Purchase Environments: The Influence of Return Policy Leniency on Two-Sta.,Provides theoretical and empirical insights on Remote Purchase Environments: The Influence of Return Policy Leniency on Two-Sta.,"however, the endowment effect suggests some surprising benefits of return policy leniency to the retailer.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2016] Counteracting Strategic Purchase Deferrals: The Impact of Online Retailers’ Return Policy Decisions,Online shoppers value lenient return policies as they are unable to assess whether products match their expectations.,Provides theoretical and empirical insights on Counteracting Strategic Purchase Deferrals: The Impact of Online Retailers’ Retu.,Provides theoretical and empirical insights on Counteracting Strategic Purchase Deferrals: The Impact of Online Retailers’ Retu.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[1987] A Foundation for the Study of Group Decision Support Systems,"This paper presents a conceptual overview of GDSS based on an information-exchange perspective of decision making, Three levels of systems are described, representing varying degrees of intervention into the decision process.","This paper presents a conceptual overview of GDSS based on an information-exchange perspective of decision making, Three levels of systems are described, representing varying degrees of intervention into the decision process.","This paper presents a conceptual overview of GDSS based on an information-exchange perspective of decision making, Three levels of systems are described, representing varying degrees of intervention into the decision process.","Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[1980] A Framework for the Development of Decision Support Systems,"This article proposes a framework to explore the nature, scope, and content of the evolving topic of Decision Support Systems (DSS).",Provides theoretical and empirical insights on A Framework for the Development of Decision Support Systems.,Provides theoretical and empirical insights on A Framework for the Development of Decision Support Systems.,"Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2013] Gaining Customer Trust: A Conceptual Guide for the Salesperson,AbstractThis article applies what the behavioral sciences know about trust to industrial sales situations.,Provides theoretical and empirical insights on Gaining Customer Trust: A Conceptual Guide for the Salesperson.,Provides theoretical and empirical insights on Gaining Customer Trust: A Conceptual Guide for the Salesperson.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
"[2006] The Nature and Role of Feedback Text Comments in Online Marketplaces: Implications for Trust Building, Price Premiums, and Seller Differentiation","However, the literature has solely focused on numerical (positive and negative) feedback ratings, alas ignoring the role of feedback text comments. Building on the economics and trust literatures, this study examines the rich content of feedback text comments and their role in building a buyer’s trust in a seller’s benevolence and credibility.",this study examines the rich content of feedback text comments and their role in building a buyer’s trust in a seller’s benevolence and credibility.,this study examines the rich content of feedback text comments and their role in building a buyer’s trust in a seller’s benevolence and credibility.,"however, the literature has solely focused on numerical (positive and negative) feedback ratings, alas ignoring the role of feedback text comments.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[1999] Judicialization and the Construction of Governance,"The theory is composed of three elements: normative structure, dyadic contracting, and triadic dispute resolution. I demonstrate that a move to triadic dispute resolution leads the triadic dispute resolver to construct, and then to manage over time, specific causal relationships between exchange, conflict, and rules.",Provides theoretical and empirical insights on Judicialization and the Construction of Governance.,Provides theoretical and empirical insights on Judicialization and the Construction of Governance.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2013] The Mediating Role of Customer Trust on Customer Loyalty,"The review of the literature reveals various relationships between the constructs of social identity, customer trust, and customer loyalty.",this study is to evaluate the mediating role of customer trust on customer loyalty in presence of corporate social identity in the context of financial institutions.,this study is to evaluate the mediating role of customer trust on customer loyalty in presence of corporate social identity in the context of financial institutions.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2003] Building customer trust in mobile commerce,"Gaining customer trust in m-commerce is a daunting process, extending from initial trust formation to continuous trust development---but it can be done.",Provides theoretical and empirical insights on Building customer trust in mobile commerce.,Provides theoretical and empirical insights on Building customer trust in mobile commerce.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2003] The Impact of Customer Trust and Perception of Security Control on the Acceptance of Electronic Commerce,"The number of Internet users has increased dramatically,but many are reluctant to provide sensitive personal information to Web sites because they do not trust e-commerce security.This paper investigates the impact of customer perceptions of security control on e-commerce acceptance.",This paper investigates the impact of customer perceptions of security control on e-commerce acceptance.,This paper investigates the impact of customer perceptions of security control on e-commerce acceptance.,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2007] Perceived Service Quality and Customer Trust,"Customer education initiatives, however, also affect the impact of perceived service quality on customer trust.",this study modeled the multifaceted impact of customer education initiatives on the relationship between service quality and trust.,this study modeled the multifaceted impact of customer education initiatives on the relationship between service quality and trust.,"however, also affect the impact of perceived service quality on customer trust.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2009] A comprehensive model of customer trust in two retail stores,Originality/value The study aims at filling two important gaps in the literature: the scarcity of comprehensive store patronage models and the lack of exploration of the operational means of improving customer trust in retail services.,this paper is to develop and test a comprehensive model of customer trust in a retail service setting.,this paper is to develop and test a comprehensive model of customer trust in a retail service setting.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2007] The impact of corporate social responsibility on consumer trust: the case of organic food,A critical and notoriously elusive issue in Corporate Social Responsibility (CSR) research is the impact of Corporate Social Performance (CSP) on the bottom line.,Provides theoretical and empirical insights on The impact of corporate social responsibility on consumer trust: the case of org.,Provides theoretical and empirical insights on The impact of corporate social responsibility on consumer trust: the case of org.,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2024] Forecasting e-commerce consumer returns: a systematic literature review,"However, existing reviews predominantly took a broader perspective, focussing on reverse logistics and closed-loop supply chain management aspects. This paper addresses this gap by reviewing the state of research on returns forecasting in the realms of e-commerce.",This paper addresses this gap by reviewing the state of research on returns forecasting in the realms of e-commerce.,This paper addresses this gap by reviewing the state of research on returns forecasting in the realms of e-commerce.,"however, existing reviews predominantly took a broader perspective, focussing on reverse logistics and closed-loop supply chain management aspects.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2021] E-commerce development in rural and remote areas of BRICS countries,"This article examines areas for potential cooperation by BRICS countries in e-commerce development across rural and remote areas to fight poverty. The article concludes that despite the rapid e-commerce development in BRICS countries, and significant opportunities created, there are still issues of disproportionate e-commerce in varied regions and the lack of BRICS cooperation in this sphere. Based on a comparative and normative in-depth, systematic analysis, the article develops a set of recommendations for deepening BRICS countries’ cooperation in the following areas: infrastructure in rural and remote regions; education; consumer protection; online dispute resolution; coordinated policy in the international scene, including representation of BRICS countries in international indexes, such as the Organization of Economic Co-operation and Development (OECD) Digital Services Trade Restrictiveness Index (STRI).",Provides theoretical and empirical insights on E-commerce development in rural and remote areas of BRICS countries.,Provides theoretical and empirical insights on E-commerce development in rural and remote areas of BRICS countries.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[1999] From reversed logistics to green supply chains,"However, literature on the role of supply chain operations, mostly published in the area of reversed logistics, has failed to develop grounded theory and frameworks to support the application of such an approach.",Provides theoretical and empirical insights on From reversed logistics to green supply chains.,Provides theoretical and empirical insights on From reversed logistics to green supply chains.,"however, literature on the role of supply chain operations, mostly published in the area of reversed logistics, has failed to develop grounded theory and frameworks to support the application of such an approach.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2017] Sustainable Retailing in the Fashion Industry: A Systematic Literature Review,The results from this review also indicate that there is a lack of research on sustainable retailing in the fashion industry in the developing market.,This study aims to identify the main perspectives of research on sustainable retailing in the fashion industry.,This study aims to identify the main perspectives of research on sustainable retailing in the fashion industry.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2017] Using case-based reasoning method to design a return merchandise authorization system for supply chain management in Internet of Thing,nan,This paper drives into the deficiencies of the traditional RMA service system of a notebook computer manufacturer and analyzes the customer service behavior of its customer relationship management.,This paper drives into the deficiencies of the traditional RMA service system of a notebook computer manufacturer and analyzes the customer service behavior of its customer relationship management.,"Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2020] Relationship between auditor integrity and organizational commitment to fraud prevention,Purpose The purpose of this research is to obtain empirical evidence about the impact of auditor’s integrity and organizational commitment to the prevention of fraud.,"this study believed, brings a new insight into government internal auditor behavior.","this study believed, brings a new insight into government internal auditor behavior.","Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2014] Effectiveness of Fraud Prevention and Detection Techniques in Malaysian Islamic Banks,This study aims to provide an insight on the perception of bankers towards the effectiveness of fraud prevention and detection techniques in Malaysian Islamic banks.,This study aims to provide an insight on the perception of bankers towards the effectiveness of fraud prevention and detection techniques in Malaysian Islamic banks.,This study aims to provide an insight on the perception of bankers towards the effectiveness of fraud prevention and detection techniques in Malaysian Islamic banks.,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2022] Fraud Prevention Determinants: A Balinese Cultural Overview,"This study aims to examine the influence of the Tri Hita Karana culture, good village governance and human resource competence on fraud prevention by being moderated by morality.","This study aims to examine the influence of the Tri Hita Karana culture, good village governance and human resource competence on fraud prevention by being moderated by morality.","This study aims to examine the influence of the Tri Hita Karana culture, good village governance and human resource competence on fraud prevention by being moderated by morality.","Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2018] Fraud prevention initiatives in the Nigerian public sector,"Purpose Detecting and preventing fraud are challenging and risky tasks, especially in a fast developing economy such as Nigeria.",this study is to examine the relationships between the fraud incidence and the elements of fraud triangle theory (FTT) with the aim of combating current fraud outrages in the Nigerian public sector.,this study is to examine the relationships between the fraud incidence and the elements of fraud triangle theory (FTT) with the aim of combating current fraud outrages in the Nigerian public sector.,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2015] Fraud Prevention: Relevance to Religiosity and Spirituality in the Workplace,Research of fraud prevention with religious and spiritual values in the workplace has not been widely researched by previous researchers.,Provides theoretical and empirical insights on Fraud Prevention: Relevance to Religiosity and Spirituality in the Workplace.,Provides theoretical and empirical insights on Fraud Prevention: Relevance to Religiosity and Spirituality in the Workplace.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2017] The effect of internal control and anti-fraud awareness on fraud prevention (A survey on inter-governmental organizations),The objectives of this research are to analyze the effect of internal control and anti-fraud awareness on the fraud prevention in inter-governmental organization.,"This study used internal control and anti-fraud awareness as independent variable, while fraud prevention as the dependent variable.","This study used internal control and anti-fraud awareness as independent variable, while fraud prevention as the dependent variable.","Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2018] Fraud prevention in Malaysian small and medium enterprises (SMEs),"Yet, despite the contribution of small businesses, previous researchers have overlooked the fraud issues that are threating the sustainability of those businesses and instead focus mainly on large and public listed companies.",this study is to identify how small businesses can prevent fraudulent activities.,this study is to identify how small businesses can prevent fraudulent activities.,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2016] Corporate governance and information technology in fraud prevention and detection,Purpose This paper aims to investigate the role of corporate governance and information technology in fraud prevention and detection within the United Arab Emirates (UAE).,This paper aims to investigate the role of corporate governance and information technology in fraud prevention and detection within the United Arab Emirates (UAE).,This paper aims to investigate the role of corporate governance and information technology in fraud prevention and detection within the United Arab Emirates (UAE).,limitations/implications the findings suggest that the senior management and boards of directors must better understand the importance of their oversight function.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
